"scenario","model_label","quantity","region","year","q025","q10","q25","q50","q75","q90","q975","n_runs"
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1979,-0.904062629340151,-0.842474765766856,-0.794779287812167,-0.72748486757994,-0.43761116074631,-0.149244599975457,-0.0605812087265352,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1979,-0.44003871612493,-0.37876023466148,-0.000604339383653079,0.0751708110501849,0.0959886977260539,0.126588509520936,0.146917594181559,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1979,-0.0112771891461853,0.00318420755048966,0.0263977011274495,0.151495040165647,0.224439945224755,0.300125993706635,0.350918800307555,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1979,-0.845156198691247,-0.838717181103303,-0.831332000515988,-0.803127909291371,-0.765604386249934,0.147566290748147,0.154468319266253,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1980,-0.24461712255329,-0.233362801729964,-0.219707829007841,-0.194485324449522,-0.162961651417865,-0.115577022180056,-0.0760663398575821,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1980,-1.2954184521528,-1.28456029349961,-1.27358006047265,-1.22305785431871,-1.1444681589637,-0.715351009274083,-0.656827848355508,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1980,-0.042824638905543,0.059244376322313,0.262129206126733,0.354259781408378,0.376602349910279,0.393934098726435,0.416458210788839,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1980,-0.400483146910227,-0.391105450787792,-0.344487329967931,-0.240724177347997,-0.104000499001463,-0.0375719839419237,0.00759732650488996,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1980,-0.934032739092196,-0.924593290842304,-0.91285054470213,-0.748419400101554,-0.64041074763719,0.143975326152009,0.194859322400966,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1981,-0.586940050345316,-0.550919420137037,-0.515891206484662,-0.372815842465368,-0.277497968682761,-0.256549037717763,-0.130497206766447,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 2",1981,-0.425287867457183,-0.414684868926373,-0.327523619166811,-0.275911146877214,-0.219371069705873,0.0735351479886828,0.0893684384728278,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 3",1981,-0.571216063337827,-0.535061409020224,-0.392604800928376,-0.203528487647538,-0.0201394475712157,0.0558552567097845,0.0914351050919202,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 4",1981,0.0491525523537043,0.0509181656510613,0.0641444446328798,0.089443656541839,0.103145765943913,0.132270385821795,0.243082600208904,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 5",1981,-0.233277436222573,-0.176008479770905,-0.128542491923881,-0.0637388809204665,0.0271771040727773,0.434766186628011,0.45918245049721,25
"Diagnostic model","Diagnostic model","Regional recruitment deviation","Region 1",1982,-0.165108311837583,-0.140750651078835,-0.073210526782717,0.0148214949265563,0.107916153750757,0.124380117520219,0.159343782103526,25
