"year","region","quantity","value","scenario","model_label","run","seed","is_reference","is_base_fit_reference","display_label"
1976,"Region 4","Regional depletion",0.73124489716574,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1976,"Region 5","Regional depletion",0.8431457033539,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1977,"Region 1","Regional depletion",0.640213727318368,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1977,"Region 2","Regional depletion",0.656758448060075,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1977,"Region 3","Regional depletion",0.751512822975699,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1977,"Region 4","Regional depletion",0.69959621088891,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1977,"Region 5","Regional depletion",0.827148538820681,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1978,"Region 1","Regional depletion",0.637365197710025,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1978,"Region 2","Regional depletion",0.643098062296269,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1978,"Region 3","Regional depletion",0.738697798323278,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1978,"Region 4","Regional depletion",0.70658919773171,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1978,"Region 5","Regional depletion",0.815989273443392,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1979,"Region 1","Regional depletion",0.621793319093652,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1979,"Region 2","Regional depletion",0.617772056946926,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1979,"Region 3","Regional depletion",0.727283369319216,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1979,"Region 4","Regional depletion",0.697455250428203,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1979,"Region 5","Regional depletion",0.800407469145157,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1980,"Region 1","Regional depletion",0.613973415357574,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1980,"Region 2","Regional depletion",0.595912846139227,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1980,"Region 3","Regional depletion",0.692436469218797,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1980,"Region 4","Regional depletion",0.654780318626087,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1980,"Region 5","Regional depletion",0.779897135461017,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1981,"Region 1","Regional depletion",0.593916960575479,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1981,"Region 2","Regional depletion",0.574090547310267,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1981,"Region 3","Regional depletion",0.668201045036079,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
1981,"Region 4","Regional depletion",0.647230297945406,"Diagnostic model","Diagnostic model",1,1,FALSE,FALSE,"Seed 1"
