"scenario","model_label","run","seed","display_label","is_reference","is_base_fit_reference","metric","quantity","unit","window","source","value","status_quantity"
"Diagnostic model","Diagnostic model",9,9,"Seed 9",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.19688809096349,"F/FMSY"
"Diagnostic model","Diagnostic model",10,10,"Seed 10",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.181719268458274,"SB/SBF=0"
"Diagnostic model","Diagnostic model",10,10,"Seed 10",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.0713080495356,"SB/SBMSY"
"Diagnostic model","Diagnostic model",10,10,"Seed 10",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.12183082791115,"F/FMSY"
"Diagnostic model","Diagnostic model",11,11,"Seed 11",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.181919025452802,"SB/SBF=0"
"Diagnostic model","Diagnostic model",11,11,"Seed 11",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.08848075048733,"SB/SBMSY"
"Diagnostic model","Diagnostic model",11,11,"Seed 11",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.098659635245,"F/FMSY"
"Diagnostic model","Diagnostic model",12,12,"Seed 12",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.192938090974503,"SB/SBF=0"
"Diagnostic model","Diagnostic model",12,12,"Seed 12",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.13503352952528,"SB/SBMSY"
"Diagnostic model","Diagnostic model",12,12,"Seed 12",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.08530497069677,"F/FMSY"
"Diagnostic model","Diagnostic model",13,13,"Seed 13",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.171015960692783,"SB/SBF=0"
"Diagnostic model","Diagnostic model",13,13,"Seed 13",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.00393607954545,"SB/SBMSY"
"Diagnostic model","Diagnostic model",13,13,"Seed 13",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.16319646388275,"F/FMSY"
"Diagnostic model","Diagnostic model",14,14,"Seed 14",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.182785476529186,"SB/SBF=0"
"Diagnostic model","Diagnostic model",14,14,"Seed 14",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.09212738512461,"SB/SBMSY"
"Diagnostic model","Diagnostic model",14,14,"Seed 14",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.09661147055598,"F/FMSY"
"Diagnostic model","Diagnostic model",15,15,"Seed 15",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.187218302750658,"SB/SBF=0"
"Diagnostic model","Diagnostic model",15,15,"Seed 15",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.12502187377114,"SB/SBMSY"
"Diagnostic model","Diagnostic model",15,15,"Seed 15",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.0680337498665,"F/FMSY"
"Diagnostic model","Diagnostic model",16,16,"Seed 16",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.178559907064366,"SB/SBF=0"
"Diagnostic model","Diagnostic model",16,16,"Seed 16",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.06028053286659,"SB/SBMSY"
"Diagnostic model","Diagnostic model",16,16,"Seed 16",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.12258643915581,"F/FMSY"
"Diagnostic model","Diagnostic model",17,17,"Seed 17",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.187978263362581,"SB/SBF=0"
"Diagnostic model","Diagnostic model",17,17,"Seed 17",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.13433627879269,"SB/SBMSY"
"Diagnostic model","Diagnostic model",17,17,"Seed 17",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.06145844390192,"F/FMSY"
"Diagnostic model","Diagnostic model",18,18,"Seed 18",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.167538150286742,"SB/SBF=0"
"Diagnostic model","Diagnostic model",18,18,"Seed 18",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",0.943036822048919,"SB/SBMSY"
"Diagnostic model","Diagnostic model",18,18,"Seed 18",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.2385434728759,"F/FMSY"
"Diagnostic model","Diagnostic model",19,19,"Seed 19",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.190905347867672,"SB/SBF=0"
"Diagnostic model","Diagnostic model",19,19,"Seed 19",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.11591955081001,"SB/SBMSY"
"Diagnostic model","Diagnostic model",19,19,"Seed 19",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.05730598435187,"F/FMSY"
"Diagnostic model","Diagnostic model",20,20,"Seed 20",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.185182706524608,"SB/SBF=0"
"Diagnostic model","Diagnostic model",20,20,"Seed 20",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.09993290688726,"SB/SBMSY"
"Diagnostic model","Diagnostic model",20,20,"Seed 20",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.09337415263503,"F/FMSY"
"Diagnostic model","Diagnostic model",21,21,"Seed 21",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.177473702884935,"SB/SBF=0"
"Diagnostic model","Diagnostic model",21,21,"Seed 21",FALSE,FALSE,"sb_recent_sbmsy","SBrecent/SBMSY","ratio","2021-2024","mean(SB, 2021-2024) / MFCLRep@BMSY",1.06603993673389,"SB/SBMSY"
"Diagnostic model","Diagnostic model",21,21,"Seed 21",FALSE,FALSE,"f_recent_fmsy","Frecent/FMSY","ratio","2020-2023","1 / MFCLRep@Fmult using the 2020-2023 fishing-mortality pattern",1.11470293166871,"F/FMSY"
"Diagnostic model","Diagnostic model",22,22,"Seed 22",FALSE,FALSE,"recent_depletion","SBrecent/SBF=0","ratio","2021-2024 / 2014-2023","mean(SB, 2021-2024) / mean(SBF=0, 2014-2023)",0.174909137868508,"SB/SBF=0"
